case_id,original_shape_MeshVolume,original_shape_Sphericity,original_shape_SurfaceVolumeRatio,original_firstorder_10Percentile,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_TotalEnergy,original_glcm_JointEntropy,original_gldm_DependenceNonUniformity,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness
Case030,3.7300216767325285,0.45410467633938206,-1.9850588502502842,-0.016910478997796855,0.5168916785746339,-0.42375043574099874,0.5483306320668669,-1.0400767535473785,0.7118217719573054,1.1248306890073805,-0.12128218715732834,-0.20129032332597643,-0.7790780032319886,-0.19752597752152895,-1.2716418428398548
Case031,-0.2860785372262882,0.04990220895976554,-0.06961876301190924,0.6080148409350727,1.2706159960263728,-0.18078612561603435,-0.09373867473403959,0.3680791702772596,-0.09727673869220939,1.0947641907740895,-0.4362010540347179,0.16044403799122905,-0.009070722717342238,-0.02663754901794607,-0.5596892433315844
Case032,0.1746062366290314,-0.11032136153638245,-0.4607968710439142,-0.7972405081203219,-0.030366538939727454,-0.949113053969325,-0.36361320578212986,-1.1257787894209776,-0.29841085635502423,-0.3433823989596746,0.4294133794056926,-0.48307405851474866,0.33353465984654773,-1.1906551075353038,-0.7085814497143644
Case033,0.6390284640344328,1.04420671865101,-1.2100105500979121,-0.5783513219851052,-0.6885909091564641,-0.515339076206954,-0.23597679782865444,-0.15188532593254309,-0.159034345298048,-0.47396785212635856,0.47177743788899607,-0.4393171751689507,1.176255689259146,-0.5204177444915563,-0.49927276079885635
Case035,0.36520006304588226,-2.253521841006057,0.5342649380383743,7.637598069386295,0.13245831238984643,7.875198042035273,8.29204103132929,4.063584260976811,6.19502432404721,4.82993240649165,-0.7012031625205521,8.535491965593314,-1.5699977942212529,3.6397870486926993,-1.2707567161529896
Case036,-1.1415860574199805,0.6823176282586639,1.5572675709556354,0.5990873363646031,-0.3647981478304668,-0.10064606520832356,-0.39312775164208164,-0.8273248595720447,-0.8947298731265374,-0.7166148060764604,-0.3880135479921565,-0.32413420122961745,0.376238735889671,-0.7698891056262867,1.8579184008957716
Case037,-0.7017143564059403,0.017016794385602572,0.5990276678837338,-0.38888983610069544,-1.889509003264754,0.24026720763717627,-0.25588328767148033,0.3445332067384291,-0.4918519629803143,-0.5915655474294321,-0.3928650547076231,-0.11276233561270664,-0.08597884706017658,0.5218617631736922,0.5515676455559351
Case039,0.4546376230113019,0.08911453300427132,-0.7534608119728051,-0.7750870708528602,-0.5012889073758281,-0.6120159744765733,-0.3336770319947415,-0.8997529689927228,-0.5240803020801446,-1.006206434571465,0.4353285832135135,-0.5582948453579032,1.5918045804481509,-0.8741129507306846,-0.041979813506677906
Case040,-0.9343480400021378,0.5490047688345564,0.8765411967376326,-0.16636351847380568,-0.5857125562771651,-0.21258773688893545,-0.3576020948677875,0.2702408615886449,-0.5550384016170155,-0.37195847907637125,-0.08544691294619325,-0.050819093157279185,-0.2568926848537182,-0.10472784479300136,1.2184545223954573
Case042,-0.42888993453894386,-0.35935743036978135,0.3255964815897732,0.9055983266173917,-0.1451224345478276,0.3267675902994673,-0.044627719755298764,0.5907390108116631,-0.15235704948589907,0.8409984155527431,-0.5735651145961148,0.3458094198468416,-0.7370347693120226,0.3829060555833468,-0.22634476041869092
Case043,-0.32780645042636536,0.7873137702193437,-0.3423586478511906,5.496319565743298,-0.3370779925475169,6.549706884180755,4.939428449307408,3.489252477118755,3.0630034304592257,5.741735867674778,-0.6732187185530518,9.145657341660339,-1.1993130231646651,4.467041081992975,-0.9871082193309729
Case044,-0.028397086140549962,-0.5987416650647711,-0.04470859263399586,0.0941873556569356,-0.9447392775316811,0.12959760040748042,-0.016722360371305325,1.199493879318693,0.16752818057004482,-0.4727832308171936,-0.5613364502172458,0.0628549279100661,-0.6834273084363481,0.461383805143844,-0.3333567557781841
Case045,0.792822604432219,-0.5794541357107048,-0.6874829624941576,0.4790619971394013,-0.5785319954497595,0.1893846296005345,0.44425664941642595,1.202478422839817,1.101066516074442,2.0993881985514475,-0.26490218644730196,0.41587837235039304,-0.4431276463274235,1.0379677240538296,-0.9808622505299653
Case046,-0.39447532900126187,-3.161271731201757,2.3070732729627914,-1.068372128408657,-0.6295132184048643,-0.6832515837278718,-0.44034235959419554,-0.12125482918004923,1.7342155418891836,-0.6197389086083919,0.3054905420037238,-0.4843764988264136,0.20662889462258444,0.48383573570013705,-1.2150329915770592
Case048,1.9494745278536225,0.205804250347771,-1.4826668119698305,0.287285973033018,0.7590500891662462,0.7669018903164185,0.5386063392849968,0.5333084008019928,1.5087894230066337,0.35624565326033114,-0.4553377491690393,0.05602327485020082,-0.9616427235729191,1.3419946044962454,-1.1822846685042645
Case049,-0.09332730558040947,-1.354605027611018,0.44017410468022855,-1.1708731068103444,-1.2029262362381616,-0.746854806273674,-0.40766810986015134,0.2418850213743588,2.5422026553117494,-0.6172929477325333,0.5927371106549192,-0.4867205473398885,0.8507800909934514,0.9484482317300913,-1.283686407490863
Case050,5.299027135600474,-0.14189297576629437,-2.068457590341928,0.7138223025110084,1.5872312666282635,0.5150331290350418,1.8403835569933022,-0.0583550319728466,2.9868689172235436,2.662246512988897,-0.4710054916367073,0.30961736021484815,-1.1576132580152891,0.902388560006273,-1.5355072085998882
Case051,-0.34365121265318,-1.8673255863293,1.1179926455131417,-0.7357399210793093,-0.4881995773314174,-0.6718030036696274,-0.40269165350141817,-0.2247346040342485,1.9173465747237188,-0.5258964751003268,0.10392829549553133,-0.4459925405624879,-0.10308019641396238,0.48689825529030945,-1.2793824004663898
Case055,1.4256730853196236,0.2456328986898859,-1.3094166106286194,-0.8137729239915619,-0.11496567232794441,-0.6374572634948942,-0.17817587737141838,-0.5092688815463049,-0.08037306847823923,-0.257492371950322,0.24138787628347164,-0.41167178496974,0.24199296102208429,-0.8825918615011762,-0.7990392555593236
Case057,1.9836901870581023,0.49955633815018874,-1.5863249824536891,0.8295492136096879,0.16377380803005173,0.2211862408734356,0.8094397616390593,0.3885311449788868,1.1311453391000645,0.8700077922850705,-0.534617133448834,0.15561793060289708,-1.149348093957777,0.5230462714965181,-1.1884453902105652
Case058,0.5846317538410918,0.11501730348027757,-0.8474662214185742,0.8709019278662128,-1.1358989616425545,0.31092517043371304,0.5148055586161498,0.41496268184188784,-0.3614698092172406,0.24608720207448823,-0.598523780159969,0.3073804977072186,-0.8238810322527917,0.2414684323250881,-0.07626450331201241
Case059,-0.7945380984518551,0.28738431828250677,0.6562897825422658,-0.6249727347420017,-0.6676726404591851,-0.4224783712900827,-0.4057237885745807,-0.20442160272872295,-0.9283085393556906,-0.6971863220317885,0.08973973100328146,-0.3519071810201721,1.149055796265628,-0.9047429957652826,1.8281015847643491
Case060,-0.8858208169486532,-0.9603637974635439,1.655409809369656,0.7072093361625124,-0.01583301566120636,0.046913411097937556,-0.2566595269626412,-0.3053405653908523,-0.5770789800910824,0.2601565355837741,-0.5782004908837939,0.2099463460155058,-0.7159393587028522,-0.6972724011840431,0.4682445076240789
Case061,0.8196245939167298,1.2006492521652514,-1.3531426060558438,-0.3541717627710916,0.6405382815122731,-0.5954791366146647,-0.20735627679077528,-1.273052141639451,-0.3200485076398883,-0.01691392934310302,0.4365258110269945,-0.4276481788342585,0.3978285767455131,0.035648073452475004,-0.6649495503285628
Case062,0.3849432913928449,0.912425889477897,-1.0137149991446803,-0.6577069181670567,0.4700771971887346,-0.7888329331539035,-0.32667208754621274,-1.130309253947639,-0.5362432950247313,-0.21688616199977268,0.1264062393404611,-0.43601053501084713,0.40584946090800983,-0.4857173502524408,-0.29944851617262314
Case063,-0.5389775492498119,-0.30239367640963366,0.4692284542268333,-1.1437599447815108,-1.3541404175313358,-0.8791495091689425,-0.41800592853559015,-0.40571365907635615,-0.8397810990048731,-1.031652508698753,1.6299839713145656,-0.503010945706599,3.5955475061378452,-1.182584714849731,1.9013054804015097
Case065,1.0729219100851908,0.5439356548101504,-1.2609456962490468,-0.5634721477009892,0.07993785692595252,-0.5547730741853513,-0.13950034574105236,-0.5242853966376803,-0.32139458863274056,-0.19228782204068773,-0.021613033924173554,-0.3726616140653214,1.661177326504102,-0.479649263191309,-0.41898782488374225
Case066,1.4983389982310826,0.3804974473294734,-1.3827366597647204,0.23835002205414793,-0.10907251424295614,0.39291494174710156,0.503963581499588,1.005006392220105,1.6064477553904888,0.6962698398551168,-0.5091871606281639,0.1515810233545345,-0.6242253491821982,1.3206613154075844,-1.2252899795766723
Case069,1.8475372663541385,-1.3481735349812871,-0.8498033736684681,1.077535451678287,2.1629135236257886,-0.06375619613175829,0.7564992692490223,-0.2180627001821153,1.7451923272790852,1.355615305097619,-0.5324925730662415,0.25131014242439836,-1.1247990848258607,0.24782368439736321,-1.3779031772731958
Case070,-0.6297401389866633,-0.48706052872915356,0.7353717879250307,-0.7562401167596468,-0.33882042876016344,-0.689611905982452,-0.4241499755924677,-0.4407160472089396,-0.5778832824334689,-1.0371389672077318,0.8875095928181176,-0.49418829032749,2.205355489425574,-1.5090010910325578,0.3443382929652655
