case_id,original_shape_Elongation,original_shape_MajorAxisLength,original_firstorder_10Percentile,original_firstorder_Energy,original_glcm_Idn,original_glcm_SumSquares,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_ZoneEntropy,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Strength
Case303,-1.9225761469136775,0.07734315976761154,-0.17892815453594824,-0.32084225698390784,-1.2630994568022147,-0.3929413453745855,-0.8486820961643183,0.4580277363994774,-0.31645259660241004,-0.24375210574384357,0.4231200146095443,-2.011981464884718,1.4166273161760565,-0.20676491420948684,-0.1754064590146459
Case304,0.00030977880574941204,-0.190906149258274,-0.7139171321292724,-0.3264079099162528,0.6742933724547838,-0.6240569856705996,-0.5517876237883629,-0.1542764844239602,-0.5189420046241373,0.8175866398792249,-1.4794267418721092,-1.9798442334608033,0.3839413408503575,-0.2572088840192758,-0.7755961501732108
Case305,-1.1104747225933342,-1.4200737896158293,-0.11279849105098849,-0.3179336347856176,0.21431394087466105,-0.2973043641844989,-0.9737466671010996,0.8206126854868346,-0.38511731506706887,-0.21131926223086456,-0.2591322322025439,-1.2869822352722216,2.870348837479506,-0.2163979317144382,0.3203168202785516
Case306,0.8761664416900894,-1.4444732420388284,6.676072762314979,4.917246715152416,-0.5184210005862535,12.180375833291292,6.3165492619065295,-1.1051519497013726,10.835417617024891,-0.311191870819438,3.5245841167168694,4.2747086737244375,-0.6124182285295785,13.073503201613967,12.824546212178786
Case308,-0.05852050947956426,0.2940092415585004,0.8692270117006637,0.08572046915568646,1.7222938650378627,-0.18731163011627208,0.508705626729847,-1.0268114688203664,0.24234761132204774,-0.28483122022539287,0.2698322214737087,0.5900281130989873,-0.6629790748190375,0.0003775172995623604,0.4105513676362368
Case309,-0.0999092816685414,-0.18066223857446673,0.479723293774251,0.07049002491380041,0.17282936454329367,-0.14261484966616642,2.2178561616934007,-0.980388479017477,0.031147438729441448,-0.15953718629872332,-0.5508313060239796,0.6940450540190773,-1.0088436981849709,-0.10587903221098922,-0.5243008792119931
Case310,0.6952469932936103,-0.3351067927570243,-0.3137065962655449,-0.17881773158571748,0.4664115154579451,-0.04375979840630531,-0.5891829367324045,-0.34329431287424333,-0.1700947460615367,-0.26266362053801545,0.654002157298407,0.2791208317234283,-0.013603476739801511,-0.09289118124143168,0.11986464778368768
Case311,1.4427652630994128,-0.4442545222339021,0.935026026868199,0.10814143515673999,0.6394980241376754,-0.11412908736089743,0.3887850072616339,-1.0316182967420737,0.22841399613214045,-0.28841792667385824,0.19739675009483973,0.33567418217015355,-0.645389822681066,-0.08354773720128547,-0.06383952649878405
Case312,0.808254645912819,1.0031946912849072,0.8058044505899327,0.13352109977485258,0.9744199627525458,0.009046433031840311,1.3908028674690116,-1.0836487744781693,0.3922425851480725,-0.2741473869944895,0.2547984969476657,0.7750139006800403,-0.61644407760033,-0.0034079100763135576,0.2707187043993872
Case314,-1.1657665611363963,-0.9674979940434677,-0.5823191017942028,-0.2591221780724966,-0.664653939614758,-0.04161072859394595,-0.6210844518668555,0.5599633145396488,-0.16920468457696905,-0.24582234344071277,0.826914137962269,-0.2259304824241337,0.21976867452966006,-0.09737363956641253,-0.0308974606593607
Case315,-0.8234534281352497,0.3389342411854415,1.1767299469057266,-0.08539951578229495,0.7962731856176675,0.16656779633200844,0.2598731265353321,-0.7641994126934524,0.534909920721748,-0.2950327761976953,1.415549347709039,0.09895091802339628,0.2919404380253662,0.07426555404763809,1.3966292061118923
